Company,Role,Location,Salary Range,Status,Date Applied,Follow Up Date,Response,Interview Stage,Days To Response,Response Type,Cover Letter Used,What Worked,Tags,Notes,Career Page URL,Remote Policy,Remote Likelihood Score,Remote Evidence,Submission Lane,Submitted Resume Path,Submission Evidence Path,Submission Verified At
BitGo,Mobile Engineer,Remote,$140k-$180k,Draft,,,,Initial,,,standard_fintech,,remote;crypto;mobile,"Web3 fintech; custody solutions
Auto-demoted invalid Applied status on 2026-03-08 (missing=missing_submission_evidence_path,missing_submission_verified_at).",https://www.bitgo.com/careers,remote,88,remote_keyword;remote_us_scope,manual,,,
Apex Fintech,Software Engineer,Remote,$130k-$170k,Draft,,,,Initial,,,standard_fintech,,remote;fintech;trading,"Trading infrastructure; digital investing
Auto-demoted invalid Applied status on 2026-03-08 (missing=missing_submission_evidence_path,missing_submission_verified_at).",https://www.apexfintechsolutions.com/careers,remote,85,remote_keyword,manual,,,
GRAIL,Software Engineer,Remote,$150k-$190k,Draft,,,,Initial,,,standard_healthcare,,remote;ai;healthcare,"Cancer detection; healthcare AI
Auto-demoted invalid Applied status on 2026-03-08 (missing=missing_submission_evidence_path,missing_submission_verified_at).",https://grail.com/careers,remote,85,remote_keyword,manual,,,
Baseten,Senior Software Engineer - Infrastructure,San Francisco; New York; Remote,$200k-$270k,Quarantined,2026-02-18,,Submit blocked,Initial,,,2026-02-17_baseten_senior-software-engineer-infrastructure,,ai;infra;kubernetes;inference;gateway,"Submit attempt flagged as possible spam (Ashby). Evidence: applications/baseten/submissions/2026-02-18_baseten_application_submitted.png. Retry later from non-automated browser/session.
Retry queued on 2026-02-19 for CI submit pipeline.
CI submit blocked by anti-bot on 2026-02-19 via ashby. Reason=recaptcha_score_below_threshold:3dd1b32c-47bd-4bfc-a6f8-2acb9565ea20. Manual browser submit required.
CI submit blocked by anti-bot on 2026-02-20 via ashby. Reason=recaptcha_score_below_threshold:36acb47f-b8a2-4708-bc83-4370f24e93d7. Manual browser submit required.
Auto-quarantined on 2026-02-24 after submit blocker via ashby: missing_file_input",https://jobs.ashbyhq.com/baseten/1b9ba599-ee9f-4034-83c7-3b4569ef4335,remote,88,remote_keyword;remote_us_scope,manual:quarantined,,,
Anthropic,Senior / Staff+ Software Engineer - Autonomous Agent Infrastructure,San Francisco; New York City; Seattle,$?,Applied,2026-02-18,2026-02-25,,Initial,,,2026-02-17_anthropic_autonomous-agent-infrastructure,,ai;agents;infra;gateway,"Submitted 2026-02-18 via Greenhouse. Confirmation: ""Thank you for applying! Your application has been received."" URL: https://job-boards.greenhouse.io/anthropic/jobs/5065894008/confirmation. Fields: First=Igor Last=Ganapolsky Email=iganapolsky@gmail.com Phone=2016391534 Country=United States Resume=docx uploaded Website=https://github.com/IgorGanapolsky LinkedIn=https://www.linkedin.com/in/igor-ganapolsky-859317343/ WorkingAddress=11909 Glenmore Dr Coral Springs FL 33071 InPerson25%=Yes AIPolicy=Yes VisaSponsorship=No FutureVisa=No Relocation=No InterviewedAnthropicBefore=No WhyAnthropic=filled(200+words). Confirmation screenshot: applications/anthropic/submissions/2026-02-18_anthropic_submission.png",https://job-boards.greenhouse.io/anthropic/jobs/5065894008,,,,,applications/anthropic/tailored_resumes/2026-02-17_anthropic_autonomous-agent-infrastructure_resume.docx,applications/anthropic/submissions/2026-02-18_anthropic_submission.png,2026-02-19T21:14:06.073365+00:00
OpenEvidence,Software Engineer - Backend and Infrastructure,Miami FL,,Draft,2026-02-17,,Submit blocked,Initial,,,2026-02-17_openevidence_backend-and-infrastructure,,ai;infra;backend,"Application submission flagged as possible spam; captured screenshot of error; retry needed (possibly from non-automated browser)
Retry queued on 2026-02-19 for CI submit pipeline.
Queue gate demoted on 2026-02-19 (fit=35/70, remote=13/55; reasons=fit_score_below_threshold:35<70,missing_customer_facing_signal,missing_fde_competencies_block,missing_fde_headline,remote_likelihood_below_threshold:13<55).",https://jobs.ashbyhq.com/openevidence/4ca13c92-2a6f-4847-8bcd-22aa8b29cde8,onsite,13,onsite_keyword;remote_us_scope,ci_auto:ashby,,,
OpenEvidence,Software Engineer - Site Reliability Engineering,Miami; San Francisco; Remote,,Applied,2026-02-18,2026-02-25,,Initial,,,2026-02-17_openevidence_site-reliability,,ai;infra;sre;observability,"Submitted 2026-02-18 via Ashby. Confirmation: ""Your application was successfully submitted. We'll contact you if there are next steps."" Confirmation screenshot: applications/openevidence/submissions/2026-02-18_openevidence_sre_submission.png. Fields filled: Name=Igor Ganapolsky; Email=iganapolsky@gmail.com; Resume=docx uploaded; Why good fit=WHY_OPENEVIDENCE answer; Current Location=Coral Springs FL USA; In-person=Neither Miami or SF checked; US work auth=Yes clicked; Visa sponsorship=No clicked.",https://jobs.ashbyhq.com/openevidence/e4cb00ad-9d09-47f8-a67c-5452a1739a11,,,,,applications/openevidence/tailored_resumes/2026-02-17_openevidence_site-reliability_resume.docx,applications/openevidence/submissions/2026-02-18_openevidence_sre_submission.png,2026-02-19T21:14:06.073787+00:00
Runway,Member of Technical Staff - Inference,Remote,,Quarantined,2026-02-18,,HTTP 428 reCAPTCHA Enterprise,Initial,,,2026-02-17_runway_mts-inference,,ai;inference;infra;performance,"Form fully filled (patchright + Chrome visible + mouse simulation). POST boards.greenhouse.io→HTTP 428 (reCAPTCHA Enterprise score below threshold). Retry: use Chrome user profile with existing cookies OR 2captcha Enterprise API. Screenshot: applications/runway/submissions/pr_02_filled.png.
Retry queued on 2026-02-19 for CI submit pipeline.
Queue gate demoted on 2026-02-19 (fit=38/70, remote=88/55; reasons=fit_score_below_threshold:38<70,missing_customer_facing_signal,missing_fde_competencies_block,missing_fde_headline,python_requested_not_explicit_in_resume).
Queue gate passed on 2026-03-02 (fit=73/70, remote=88/55, track=general, lane=ci_auto:greenhouse).
CI submit blocked on 2026-03-02 via greenhouse. Reason=confirmation_text_not_detected. Needs manual completion.",https://job-boards.greenhouse.io/runwayml/jobs/4650230005,remote,88,remote_keyword;remote_us_scope,ci_auto:greenhouse,,,
ElevenLabs,Forward Deployed Engineer - Software Engineer,Remote (multi-location),,Applied,2026-02-18,2026-02-25,,Initial,,,2026-02-17_elevenlabs_forward-deployed-engineer,,ai;agents;integrations;infra,"Submitted 2026-02-18 via Ashby. Confirmation: ""Thank you for applying to ElevenLabs! We'll be in touch via email shortly."" ApiSubmitSingleApplicationFormAction→200. Confirmation screenshot: applications/elevenlabs/submissions/pr_03_result.png. Fields: Name=Igor Ganapolsky; Email=iganapolsky@gmail.com; Location=Florida US; Resume=docx uploaded; Referral=LinkedIn; CustomerExperience=Yes; Excited=filled; HardProblem=filled. patchright + Chrome 65s dwell time.",https://jobs.ashbyhq.com/elevenlabs/6c4c57c1-ec72-42ba-af3a-eb7aebbde2e6,,,,,applications/elevenlabs/tailored_resumes/2026-02-17_elevenlabs_forward-deployed-engineer_resume.docx,applications/elevenlabs/submissions/v2_03_confirmation.png,2026-02-19T21:14:06.074051+00:00
Mercor,Software Engineer (Code QA),Remote,$70-$120/hr,Closed,2026-02-17,,,,,,,,ai;coding;qa;evals,"Listing explicitly says ""not accepting applications currently"" (disableApplications=true); screenshot saved in Resume/applications/mercor/submissions",https://work.mercor.com/jobs/list_AAABnBattZTz9wbayDZIOKJy/software-engineer-code-qa,,,,,,,
Mercor,Software Engineer (Trajectory),Remote,$70-$130/hr,Applied,2026-02-18,2026-02-25,,Initial,,,2026-02-17_mercor_trajectory,,ai;evals;reasoning;debugging,Submitted in Mercor portal; confirmation screenshot: applications/mercor/submissions/2026-02-18_mercor_trajectory_confirm_submitted.png,https://work.mercor.com/jobs/list_AAABnBa9TdLt3HTMBPZJ3KBd/software-engineer-trajectory,,,,,applications/mercor/tailored_resumes/2026-02-18_mercor_trajectory_resume.pdf,applications/mercor/submissions/2026-02-18_mercor_trajectory_confirm_submitted.png,2026-02-19T21:14:06.074230+00:00
Mercor,Software Engineer III,Redmond WA / US,$75-$105/hr,Applied,2026-02-18,2026-02-25,,Initial,,,2026-02-17_mercor_engineer-iii,,software;fullstack;debugging,Submitted in Mercor portal on 2026-02-18. Confirmation screenshot: applications/mercor/submissions/2026-02-18_mercor_engineer-iii_confirm_submitted.png. Prior state evidence: applications/mercor/submissions/2026-02-18_mercor_engineer-iii_status_after-user-finish3.png.,https://work.mercor.com/jobs/list_AAABnDPW7yXIZJOFc-ZPabh9/software-engineer-iii,,,,,applications/mercor/tailored_resumes/2026-02-18_mercor_trajectory_resume.pdf,applications/mercor/submissions/2026-02-18_mercor_engineer-iii_submit_final.png,2026-02-19T21:14:06.074558+00:00
Mercor,Software Expert (Office Suite),Remote (Mac required),$0-$100/hr,Applied,2026-02-18,2026-03-03,,Initial,,,2026-02-17_mercor_office-suite,,macos;office;annotation;workflows,Submitted on 02/18/26 (5 of 5 steps completed). Evidence: applications/mercor/submissions/2026-02-18_mercor_office-suite_status_after-user-finish.png,https://work.mercor.com/jobs/list_AAABnCt0qHJM_tY8h3hMx7Bh/software-expert-office-suite,,,,,applications/mercor/tailored_resumes/2026-02-18_mercor_trajectory_resume.pdf,applications/mercor/submissions/2026-02-18_mercor_office-suite_status_after-user-finish.png,2026-02-19T21:14:06.074657+00:00
Simile,Careers contact form (general inquiry),Bay Area / New York,,Applied,2026-02-18,2026-02-25,,Initial,,,2026-02-18_simile_careers-general-inquiry,,ai;agents;infra,"Submitted careers contact form on 2026-02-18; confirmation shown: ""Thank you! We'll be in touch."" Evidence: applications/simile/submissions/2026-02-18_simile_careers_after-submit.png",https://www.simile.ai/#careers,,,,,,applications/simile/submissions/2026-02-18_simile_careers_after-submit.png,2026-02-19T21:14:06.074731+00:00
Decagon,"Senior Software Engineer, Infrastructure",San Francisco (in-office),$250K-$330K base + equity,Draft,2026-02-18,,Submit blocked (possible spam),Initial,,,,,ai;agents;infra;enterprise,"Attempted submit on 2026-02-18 via Ashby; blocked with error: possible spam flag. Evidence: applications/decagon/submissions/2026-02-18_decagon_infra_after-submit.png. Job capture: applications/decagon/jobs/2026-02-18_decagon_senior-software-engineer-infrastructure_7a22482c.md
Retry queued on 2026-02-19 for CI submit pipeline.
Queue gate demoted on 2026-02-19 (fit=20/70, remote=10/55; reasons=fit_score_below_threshold:20<70,missing_api_integration_signal,missing_cover_letter,missing_customer_facing_signal,missing_fde_competencies_block,missing_fde_headline,missing_resume_docx_or_pdf,missing_tailored_resume_html,remote_likelihood_below_threshold:10<55).",https://jobs.ashbyhq.com/decagon/7a22482c-e2d4-45b6-b364-89b63189a4ae,onsite,13,onsite_keyword;remote_us_scope,ci_auto:ashby,,,
Inferact,"Member of Technical Staff, Exceptional Generalist (Remote)",Remote (worldwide),,Draft,2026-02-18,,Submit blocked (possible spam),Initial,,,,,ai;agents;infra,"Attempted submit on 2026-02-18 via Ashby; blocked with error: possible spam flag. Evidence: applications/inferact/submissions/2026-02-18_inferact_mts-exceptional-generalist_after-submit_attempt1.png. Job page: https://jobs.ashbyhq.com/inferact/f0d2619d-28e0-4b25-8d30-3ac555071abb
Retry queued on 2026-02-19 for CI submit pipeline.
Queue gate demoted on 2026-02-19 (fit=3/70, remote=85/55; reasons=fit_score_below_threshold:3<70,missing_cover_letter,missing_resume_docx_or_pdf,missing_tailored_resume_html).",https://jobs.ashbyhq.com/inferact/f0d2619d-28e0-4b25-8d30-3ac555071abb,remote,85,remote_keyword,ci_auto:ashby,,,
PaleBlueDot AI,AI Infrastructure Engineer (target; no posting found),Remote / US,,Draft,,,No public careers posting found,Initial,,,2026-02-18_palebluedot-ai_ai-infrastructure-target,,ai;infra;compute,"Company site reviewed on 2026-02-18; no careers/jobs link found. Job capture: applications/palebluedot-ai/jobs/2026-02-18_palebluedot-ai_site_watch_na.md
Queue gate passed on 2026-02-19 (fit=70/70, track=general).
Queue gate demoted on 2026-02-19 (fit=73/70, remote=88/55; reasons=unsupported_site_for_ci_submit).",https://palebluedot.ai/,remote,88,remote_keyword;remote_us_scope,manual,,,
Flapping Airplanes,General inquiry (contact email),US,,Draft,,,No public jobs board (email contact only),Initial,,,2026-02-18_flapping-airplanes_general-inquiry,,ai;systems;infra,"Site reviewed on 2026-02-18; no jobs board found, contact path is mailto hi@flappingairplanes.com. Job capture: applications/flapping-airplanes/jobs/2026-02-18_flapping-airplanes_site_general-inquiry_na.md
Queue gate passed on 2026-02-19 (fit=70/70, track=general).
Queue gate demoted on 2026-02-19 (fit=70/70, remote=45/55; reasons=remote_likelihood_below_threshold:45<55,unsupported_site_for_ci_submit).",https://flappingairplanes.com/,remote,85,remote_keyword,manual,,,
Coalition Technologies,Office Assistant,Worldwide,"$31,2k- $52k",Draft,,,,Initial,,,2026-02-18_coalition-technologies_office-assistant,,remote;operations;admin,Auto-synced from existing Ralph Loop draft artifacts on 2026-02-19. Not submitted; draft only.,https://remotive.com/remote-jobs/marketing/office-assistant-1680495,remote,90,remote_feed_source;remote_keyword,manual,,,
Mitre Media,Tech Lead Databricks Data Engineer,"USA, Canada, USA timezones",$160k - $180k,Draft,,,,Initial,,,2026-02-18_mitre-media_tech-lead-databricks-data-engineer,,remote;data-engineering;databricks,"Auto-synced from existing Ralph Loop draft artifacts on 2026-02-19. Not submitted; draft only.
Queue gate passed on 2026-02-19 (fit=70/70, track=general).
Queue gate demoted on 2026-02-19 (fit=74/70, remote=90/55; reasons=unsupported_site_for_ci_submit).",https://remotive.com/remote-jobs/software-development/tech-lead-databricks-data-engineer-2069747,remote,90,remote_feed_source;remote_keyword,manual,,,
Mitre Media,Tech Lead Full-Stack Rails Engineer,"USA, Canada, USA timezones",$170k - $200k,Draft,,,,Initial,,,2026-02-18_mitre-media_tech-lead-full-stack-rails-engineer,,remote;rails;fullstack,"Auto-synced from existing Ralph Loop draft artifacts on 2026-02-19. Not submitted; draft only.
Queue gate passed on 2026-02-19 (fit=70/70, track=general).
Queue gate demoted on 2026-02-19 (fit=74/70, remote=90/55; reasons=unsupported_site_for_ci_submit).",https://remotive.com/remote-jobs/software-development/tech-lead-full-stack-rails-engineer-2069746,remote,90,remote_feed_source;remote_keyword,manual,,,
nooro,iOS Developer,USA,$60k-$130k (depending on experience),Draft,,,,Initial,,,2026-02-18_nooro_ios-developer,,remote;ios;mobile,"Auto-synced from existing Ralph Loop draft artifacts on 2026-02-19. Not submitted; draft only.
Queue gate passed on 2026-02-19 (fit=70/70, track=general).
Queue gate demoted on 2026-02-19 (fit=74/70, remote=90/55; reasons=unsupported_site_for_ci_submit).",https://remotive.com/remote-jobs/software-development/ios-developer-1956455,remote,90,remote_feed_source;remote_keyword,manual,,,
SKYCATCHFIRE,Senior Python Backend Developer,USA,$100k - $150k,Draft,,,,Initial,,,2026-02-18_skycatchfire_senior-python-backend-developer,,remote;python;backend,"Auto-synced from existing Ralph Loop draft artifacts on 2026-02-19. Not submitted; draft only.
Queue gate passed on 2026-02-19 (fit=70/70, track=general).
Queue gate demoted on 2026-02-19 (fit=74/70, remote=90/55; reasons=python_requested_not_explicit_in_resume,unsupported_site_for_ci_submit).",https://remotive.com/remote-jobs/software-development/senior-python-backend-developer-2088624,remote,90,remote_feed_source;remote_keyword,manual,,,
TELUS Digital,Content Reviewer,USA,14$/hour,Draft,,,,Initial,,,2026-02-19_telus-digital_content-reviewer,,android;go;ios;social-media;ai-ml;diversity,"Discovered by Ralph Loop CI on 2026-02-19; pending review and submission. Job capture: applications/telus-digital/jobs/2026-02-19_telus-digital_content-reviewer_33ac2248.md
Queue gate passed on 2026-02-19 (fit=70/70, track=general).
Queue gate demoted on 2026-02-19 (fit=74/70, remote=90/55; reasons=unsupported_site_for_ci_submit).",https://remotive.com/remote-jobs/all-others/content-reviewer-2088622,remote,93,remote_feed_source;remote_keyword;remote_us_scope,manual,,,
Welo Data,AI Internet Rater,USA,$14.5/hour,Draft,,,,Initial,,,2026-02-19_welo-data_ai-internet-rater,,ai-ml;project-management;insurance,"Discovered by Ralph Loop CI on 2026-02-19; pending review and submission. Job capture: applications/welo-data/jobs/2026-02-19_welo-data_ai-internet-rater_cfe4d59d.md
Queue gate passed on 2026-02-19 (fit=70/70, track=general).
Queue gate demoted on 2026-02-19 (fit=74/70, remote=90/55; reasons=unsupported_site_for_ci_submit).",https://remotive.com/remote-jobs/ai-ml/ai-internet-rater-2088618,remote,90,remote_feed_source;remote_keyword,manual,,,
BNSF Railway,"Product, Platform & Enterprise Full Stack Sr/Staff Software Engineer",USA,"$165,000 - $300,000",Draft,,,,Initial,,,2026-02-19_bnsf-railway_product-platform-enterprise-full-stack-sr-staff-software-enginee,,api;aws;azure;cloud;fullstack;git;kafka;node-js;react;security;sql;ai-ml;paas;agile;product-engineering;automation;ci-cd;spring;nosql;distributed-systems;angular;stem;gcp;platform-security;spring-boot;micro-services;serverless;testing;computer-science;infrastructure;grafana;travel;insurance;mental-health,Discovered by Ralph Loop CI on 2026-02-19; pending review and submission. Job capture: applications/bnsf-railway/jobs/2026-02-19_bnsf-railway_product-platform-enterprise-full-stack-sr-staff-software-enginee_a2394d3b.md,https://remotive.com/remote-jobs/software-development/product-platform-enterprise-full-stack-sr-staff-software-engineer-2088612,remote,90,remote_feed_source;remote_keyword,manual,,,
BNSF Railway,"Product, Platform & Enterprise Front End Sr/Staff Software Engineer",USA,$165k - $300k,Draft,,,,Initial,,,2026-02-19_bnsf-railway_product-platform-enterprise-front-end-sr-staff-software-engineer,,api;aws;azure;cloud;fullstack;git;kafka;node-js;react;security;sql;ai-ml;paas;agile;product-engineering;automation;ci-cd;spring;nosql;distributed-systems;angular;stem;gcp;platform-security;spring-boot;micro-services;serverless;testing;computer-science;infrastructure;grafana;travel;insurance;mental-health,Discovered by Ralph Loop CI on 2026-02-19; pending review and submission. Job capture: applications/bnsf-railway/jobs/2026-02-19_bnsf-railway_product-platform-enterprise-front-end-sr-staff-software-engineer_54483bae.md,https://remotive.com/remote-jobs/software-development/product-platform-enterprise-front-end-sr-staff-software-engineer-2088611,remote,90,remote_feed_source;remote_keyword,manual,,,
BNSF Railway,Sr/Staff AI Engineer,USA,$165k - $300k,Draft,,,,Initial,,,2026-02-19_bnsf-railway_sr-staff-ai-engineer,,aws;azure;cloud;data-science;hadoop;java;python;sql;open-source;ai-ml;automation;research;data-analysis;deep-learning;tensorflow;nosql;spark;angular;stem;etl;data-engineering;supply-chain;iot;r;computer-science;infrastructure;travel;pytorch;insurance;mental-health,"Discovered by Ralph Loop CI on 2026-02-19; pending review and submission. Job capture: applications/bnsf-railway/jobs/2026-02-19_bnsf-railway_sr-staff-ai-engineer_c0a6b60a.md
Queue gate passed on 2026-02-19 (fit=70/70, track=general).
Queue gate demoted on 2026-02-19 (fit=74/70, remote=90/55; reasons=python_requested_not_explicit_in_resume,unsupported_site_for_ci_submit).",https://remotive.com/remote-jobs/ai-ml/sr-staff-ai-engineer-2088613,remote,90,remote_feed_source;remote_keyword,manual,,,
